size_sqft,bedrooms,age_years,distance_km,has_garage,price_usd
2322,2,16,3.55,0,338000
2419,2,9,11.17,1,306000
2197,3,29,1.96,1,354000
1395,1,45,3.28,1,142000
1651,5,22,12.51,0,233000
2243,1,31,4.85,1,275000
1963,1,16,17.46,1,160000
2581,3,49,20.99,0,241000
1954,5,16,24.22,1,177000
2263,5,13,6.8,0,322000
2129,4,8,5.86,0,343000
2638,1,39,4.03,0,314000
2096,1,1,19.46,1,218000
2837,2,44,21.49,1,262000
2008,4,24,1.92,0,329000
2000,2,38,28.15,1,81000
1906,2,8,2.51,1,297000
1572,2,21,16.7,1,138000
2368,3,42,21.56,1,231000
1882,3,45,26.26,0,50000
1309,2,3,21.71,1,83000
2079,4,25,24.25,0,192000
2034,1,28,10.84,0,212000
1248,4,44,24.63,1,68000
917,5,33,3.32,0,144000
1857,3,22,26.95,1,60000
1283,1,36,16.88,1,54000
1263,1,10,24.7,0,50000
2598,5,5,14.12,0,410000
2231,5,17,19.66,0,288000
2095,2,20,16.27,0,210000
1736,3,41,22.22,1,129000
2453,3,35,3.37,1,368000
2120,4,40,2.75,1,304000
1163,2,37,8.17,0,97000
1891,2,33,5.63,0,259000
2236,2,16,26.28,0,161000
1298,2,36,7.36,1,172000
2760,3,24,29.3,0,191000
601,3,37,10.77,1,50000
1241,2,11,6.28,0,174000
2867,4,22,23.9,1,294000
2189,1,41,20.1,1,136000
1454,1,21,15.45,0,92000
2359,4,20,17.11,0,290000
2261,2,26,21.86,1,184000
1753,3,30,7.63,1,207000
1676,1,5,29.89,0,50000
2307,5,26,29.27,0,179000
2295,5,39,19.86,1,258000
2333,4,33,6.79,0,333000
2039,2,11,20.73,1,204000
2894,1,44,3.09,1,389000
1435,2,6,1.89,0,239000
802,1,9,8.47,0,58000
722,4,44,14.42,0,50000
1000,4,16,26.18,0,50000
1366,5,25,22.09,0,55000
893,2,20,22.54,1,50000
2927,5,27,13.34,1,418000
797,2,45,11.03,0,50000
2530,5,1,11.76,0,438000
2791,3,42,29.64,0,185000
1208,3,0,2.16,1,225000
1747,3,35,26.14,0,78000
786,3,25,17.78,0,50000
2394,1,28,13.72,1,261000
1259,3,20,22.03,1,122000
2555,4,10,15.11,0,338000
1969,4,39,26.33,0,97000
2586,1,10,27.12,0,117000
2134,3,35,13.23,1,242000
746,3,48,9.03,0,67000
2334,3,38,18.18,0,205000
2443,5,39,27.46,0,121000
1088,2,34,7.11,1,105000
2559,5,33,19.07,1,337000
2263,2,46,19.32,0,172000
2985,3,23,22.26,0,270000
1240,3,21,4.82,1,184000
2402,5,4,21.76,1,293000
2569,5,32,27.36,1,224000
2798,2,35,6.21,1,322000
2038,4,46,7.89,1,301000
2234,2,19,29.17,1,176000
862,5,18,6.25,1,132000
2387,5,34,25.78,1,263000
2791,1,42,15.28,1,275000
2993,5,16,8.17,0,496000
1223,1,44,26.25,0,50000
1616,4,42,13.91,0,152000
1480,2,33,15.93,1,121000
2649,2,8,11.42,0,310000
1927,1,25,18.2,1,187000
2901,2,1,5.74,1,419000
1052,5,8,12.34,0,135000
1783,3,8,29.11,1,123000
2656,1,39,8.49,0,277000
2282,2,16,20.05,0,221000
2855,1,0,10.43,0,406000
1754,1,24,23.43,1,115000
1003,3,42,4.8,0,51000
2799,5,39,29.12,1,257000
2701,1,41,14.16,0,281000
2296,2,24,7.85,0,246000
1227,4,38,3.13,0,204000
1186,1,34,5.92,1,145000
2248,1,2,16.07,1,214000
2043,3,49,10.77,1,257000
2045,5,36,25.04,0,161000
703,4,43,13.5,0,50000
853,2,43,8.21,1,50000
2096,4,29,18.9,1,229000
698,2,37,21.5,1,50000
2800,5,33,5.84,1,380000
2484,2,11,5.86,1,378000
2519,3,18,2.06,1,452000
1477,3,36,22.36,0,56000
937,3,43,20.25,1,50000
1556,3,48,14.76,0,98000
2304,4,16,25.48,0,169000
760,5,9,24.36,1,50000
2203,2,48,17.98,1,192000
997,2,46,26.18,0,50000
1900,3,11,6.97,1,320000
1415,3,15,4.25,1,247000
2127,1,23,8.82,0,243000
2519,5,18,2.66,0,456000
2015,4,7,16.4,0,225000
1758,2,30,28.16,1,78000
1818,1,20,2.14,0,234000
1000,1,16,4.54,1,145000
1239,2,22,14.11,0,61000
1059,4,36,28.08,0,50000
1554,1,15,10.17,0,152000
1069,1,5,15.71,1,50000
1645,5,7,2.21,1,335000
2293,4,24,5.3,0,297000
2685,1,17,29.61,0,184000
2877,4,24,28.99,0,275000
1162,2,11,1.14,1,188000
2399,3,14,28.6,0,183000
2674,1,25,19.53,1,279000
825,5,40,26.17,0,50000
1397,2,44,14.19,0,76000
2931,4,25,15.95,0,377000
1559,2,46,15.18,0,64000
2104,1,31,20.34,0,129000
1052,4,9,5.05,0,170000
1415,3,15,1.87,1,238000
1258,2,6,9.93,0,141000
1146,1,16,21.44,1,50000
1815,5,22,6.85,0,319000
616,4,25,20.53,0,50000
1843,2,20,29.13,1,98000
2805,2,21,3.72,0,419000
1669,3,6,20.51,1,243000
2746,3,13,13.87,1,312000
2368,5,14,26.18,0,204000
1660,5,6,6.14,1,360000
2927,1,8,21.09,1,293000
901,1,47,25.31,0,50000
780,5,7,28.39,1,50000
1206,5,49,20.81,0,104000
1299,4,22,15.42,0,85000
1592,3,28,18.92,0,142000
1739,1,17,26.2,0,98000
790,3,30,17.55,1,50000
2900,3,29,1.88,0,460000
1580,5,38,28.0,0,50000
2606,4,34,21.0,1,278000
1784,2,17,20.62,0,109000
727,4,41,7.25,0,50000
2665,4,38,20.11,1,300000
2416,3,16,12.42,1,328000
2358,4,13,19.89,1,324000
1169,1,30,4.09,1,161000
1946,3,23,20.08,1,250000
2495,1,34,29.98,1,132000
1225,2,43,2.4,1,162000
2286,3,44,29.34,0,97000
754,2,33,12.8,1,50000
2009,3,2,26.25,1,107000
1384,5,36,23.69,1,82000
845,4,42,17.44,0,50000
2100,5,39,22.42,0,191000
2305,2,25,26.48,1,124000
1137,4,22,12.72,1,114000
2490,3,43,10.48,1,290000
2441,4,38,20.36,0,220000
1520,1,14,24.43,0,50000
1124,4,48,23.11,1,50000
2129,1,3,24.14,0,124000
635,4,28,13.63,1,64000
1284,1,21,24.72,0,65000
619,2,24,4.49,0,72000
2968,5,12,16.79,1,412000
999,3,17,1.17,1,177000
1571,4,32,10.41,1,204000
2506,5,15,11.63,1,359000
1766,3,44,12.49,0,167000
1715,3,41,21.17,0,89000
1433,1,43,12.27,0,50000
2423,2,1,14.01,1,314000
2582,2,34,7.89,0,345000
1453,5,41,11.82,1,175000
650,2,33,7.59,0,50000
1174,4,29,3.12,1,171000
1748,2,12,18.5,1,105000
2797,5,12,20.38,0,363000
2961,2,17,18.97,1,326000
2952,4,31,14.44,1,409000
2315,1,31,12.01,0,271000
1281,5,34,26.04,1,85000
1437,1,38,16.05,1,59000
1677,1,45,14.9,1,114000
2911,1,28,1.74,0,382000
2195,3,48,10.9,0,209000
604,3,28,12.03,1,50000
1726,1,43,12.57,0,89000
1819,5,15,17.82,1,167000
1373,4,43,16.47,1,88000
1476,4,46,18.63,1,99000
1591,2,9,23.18,1,150000
646,5,29,24.58,1,50000
868,3,24,21.83,0,50000
969,1,38,28.71,1,50000
1235,2,19,1.53,0,221000
1729,4,4,6.68,0,315000
2293,3,0,1.22,1,454000
2282,3,29,19.78,1,174000
1256,1,48,27.04,0,50000
719,4,2,8.06,0,143000
1430,5,44,27.88,0,50000
2410,3,13,2.75,1,424000
1681,1,29,28.1,0,50000
2574,5,49,11.2,1,326000
1969,4,3,3.94,1,313000
1340,3,17,15.09,1,120000
716,5,36,8.45,0,166000
2453,5,24,9.26,1,368000
1750,5,47,9.91,1,179000
2531,3,0,24.29,1,292000
1612,3,45,16.64,1,152000
2264,2,14,10.03,1,342000
1681,4,8,18.7,0,185000
1233,1,14,21.77,1,60000
1112,5,48,8.91,1,204000
1719,2,23,12.99,0,137000
1741,1,3,4.53,1,237000
1159,2,11,6.25,0,115000
1087,3,36,20.75,1,50000
1496,5,36,6.26,0,263000
1812,1,42,16.23,0,115000
1303,1,5,21.56,1,75000
2070,1,38,4.1,1,211000
1180,1,45,17.45,1,50000
2894,1,23,8.44,0,297000
753,2,10,28.92,0,50000
2279,5,12,15.02,0,351000
1596,3,33,24.37,1,103000
1843,3,24,16.96,0,135000
1692,3,6,2.26,0,331000
1608,3,3,19.36,1,159000
2741,2,7,28.59,0,175000
2373,4,19,18.45,0,231000
1557,5,28,24.76,1,106000
1052,1,44,26.64,0,50000
1827,4,45,7.61,1,246000
2865,3,9,7.15,1,402000
2988,4,42,18.72,1,377000
1150,5,33,12.92,1,140000
2235,1,25,25.36,1,118000
1912,1,40,27.1,0,63000
2357,5,48,11.25,0,256000
956,5,2,7.87,1,154000
2670,3,5,23.64,1,327000
2385,1,4,8.97,0,357000
2381,4,4,24.86,1,243000
2231,2,46,13.29,1,223000
1615,2,22,20.36,1,77000
1948,5,48,3.77,0,290000
1115,3,8,19.09,0,50000
935,2,34,14.1,1,50000
2382,1,19,18.01,1,242000
2905,5,48,5.87,0,384000
1096,4,41,22.37,0,50000
1495,5,34,26.02,1,50000
2807,4,49,7.29,1,384000
1451,5,17,3.78,0,259000
2287,5,16,1.69,0,412000
2531,5,23,19.62,0,295000
2168,4,2,18.61,1,305000
1556,4,31,16.85,0,86000
2236,5,34,7.73,1,303000
1891,2,37,12.34,0,185000
2040,3,12,18.24,0,141000
1791,3,46,15.41,0,142000
1666,3,24,29.65,0,50000
884,4,8,4.96,1,233000
611,4,3,21.16,1,50000
2230,2,13,12.73,0,247000
1353,3,36,13.42,1,163000
2682,3,33,21.81,0,206000
689,5,10,21.08,0,50000
1375,4,40,29.75,0,50000
2225,3,2,4.72,0,327000
1017,2,27,4.02,1,147000
714,2,28,22.01,0,50000
1216,3,8,17.77,0,117000
1425,4,2,8.95,1,189000
2249,2,24,3.3,0,310000
2116,5,33,3.48,0,307000
1012,2,11,26.93,0,50000
1328,1,41,6.56,1,200000
1275,1,8,10.38,0,125000
2492,4,14,7.57,1,424000
2839,3,39,11.29,0,396000
1722,4,24,3.01,0,312000
2171,4,4,16.05,1,283000
1577,4,10,2.96,0,240000
1608,4,33,24.21,0,77000
2743,5,23,7.78,1,423000
2287,5,14,16.66,1,268000
636,2,37,26.52,1,50000
2148,1,7,19.88,1,206000
2926,4,4,16.46,1,459000
2864,2,47,10.41,0,305000
1472,1,25,10.66,1,151000
2421,3,17,20.42,0,214000
1896,5,5,29.83,0,164000
2709,1,36,20.19,0,207000
1195,3,47,17.18,1,50000
2503,1,12,22.19,1,225000
1328,5,27,14.49,0,154000
1965,5,4,2.74,1,399000
996,2,12,17.31,1,89000
1298,4,16,28.77,1,50000
2824,1,49,6.08,1,321000
2235,1,39,21.01,0,148000
995,3,44,6.83,0,67000
675,5,31,16.54,1,55000
864,1,28,3.8,0,50000
2419,5,2,14.06,1,454000
1317,1,39,22.93,1,50000
1450,2,33,11.08,0,155000
1990,4,39,20.28,0,148000
743,1,26,24.07,0,50000
1484,5,12,27.89,1,151000
995,2,44,7.8,0,96000
2092,1,32,12.58,1,204000
1767,3,5,5.42,0,270000
1662,4,23,29.78,0,87000
2756,1,18,27.88,1,278000
1665,2,15,16.66,1,165000
1809,3,39,25.42,1,153000
1233,2,27,16.11,1,73000
1756,2,32,19.08,1,156000
1838,3,47,3.58,1,295000
1332,2,40,22.9,1,50000
834,3,12,4.7,1,132000
1350,1,42,24.96,0,50000
1553,3,44,23.68,1,50000
2142,3,24,21.55,1,171000
1797,4,41,2.05,0,251000
2276,3,35,9.79,1,280000
1791,3,26,8.63,0,246000
2817,1,37,11.44,0,311000
2016,4,6,3.54,1,392000
1817,5,4,28.17,0,154000
2140,1,42,17.06,1,149000
2676,1,44,9.86,0,297000
2045,5,30,12.51,0,297000
2986,3,22,13.97,0,381000
2119,2,41,18.42,1,187000
